rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subj_code,success,question_order,task,correct_response,congruency,name,correct,slider_start,feedback_type,feedback,prev_feedback,prev_loss,prev_correct,prev_congruency,block_feedback_type,all_accuracy
637,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2769,2.1.0,1590139,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
701,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2774,2.1.0,1592211,HdDcxr,,,probe,j,incongruent,vertical_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
660,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2779,2.1.0,1594264,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
595,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2784,2.1.0,1596179,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
778,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2789,2.1.0,1598259,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
677,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2794,2.1.0,1600310,HdDcxr,,,probe,j,incongruent,vertical_incon_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
760,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2799,2.1.0,1602458,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
739,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2804,2.1.0,1604565,HdDcxr,,,probe,j,incongruent,vertical_incon_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
701,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2809,2.1.0,1606684,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
636,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2814,2.1.0,1608727,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
513,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2819,2.1.0,1610563,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
597,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2824,2.1.0,1612460,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
682,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2829,2.1.0,1614529,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
451,<span style='font-size: 35px;'>fel</span>,n,html-keyboard-response,2834,2.1.0,1616306,HdDcxr,,,probe,j,congruent,vertical_con_2,0,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
748,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2839,2.1.0,1618527,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,visual_punishment,0,0,congruent,no_punishment_congruent,0.9408333333333333
478,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2844,2.1.0,1620285,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
544,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2849,2.1.0,1622217,HdDcxr,,,probe,f,congruent,horizontal_con_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
606,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2854,2.1.0,1624119,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
613,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2859,2.1.0,1626038,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
613,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2864,2.1.0,1628114,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
595,<span style='font-size: 35px;'>bal</span>,g,html-keyboard-response,2869,2.1.0,1630061,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,0,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
657,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2874,2.1.0,1632174,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,0,incongruent,no_punishment_congruent,0.9408333333333333
773,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2879,2.1.0,1634337,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
597,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2884,2.1.0,1636286,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
669,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,2889,2.1.0,1638385,HdDcxr,,,probe,f,incongruent,horizontal_incon_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
545,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,2894,2.1.0,1640348,HdDcxr,,,probe,j,congruent,vertical_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
750,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2899,2.1.0,1642442,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
535,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2904,2.1.0,1644361,HdDcxr,,,probe,n,congruent,vertical_con_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
625,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2909,2.1.0,1646322,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,tickmark,0,1,congruent,no_punishment_congruent,0.9408333333333333
585,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2914,2.1.0,1648280,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
992,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2919,2.1.0,1650602,HdDcxr,,,probe,g,incongruent,horizontal_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
609,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,2924,2.1.0,1652518,HdDcxr,,,probe,n,incongruent,vertical_incon_1,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
628,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,2935,2.1.0,1701912,HdDcxr,,,probe,g,congruent,horizontal_con_2,1,,,NA,neutral,0,1,incongruent,no_punishment_congruent,0.9408333333333333
